ID,Brand,Name,Purchase,Retail,current,Unit,Variant,Code,Barcode,category,Description ,image path
1,7UP,7UP 1.25L,33.1,50,50,1.25L,7 UP,145,8.90208E+12,2,Product 7UP 1.25L variant 7 UP unit 1.25L from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP 1.25L.png
2,7UP,7UP LEMON 2.25L,13.05,20,20,2.25L,LEMON,152,8.90208E+12,2,Product 7UP LEMON 2.25L variant LEMON unit 2.25L from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP LEMON 2.25L.png
3,7UP,7UP LEMON 250ML TIN,25.39,60,60,250ML,LEMON,153,8.90208E+12,2,Product 7UP LEMON 250ML TIN variant LEMON unit 250ML from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP LEMON 250ML TIN.png
4,7UP,7UP LEMON FLVR 320ML,60.17,120,150,320ML,LEMON,156,9.5564E+12,2,Product 7UP LEMON FLVR 320ML variant LEMON unit 320ML from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP LEMON FLVR 320ML.png
5,7UP,7UP LEMON FLVR ZERO SUGAR 330ML,,40,40,330ML,LEMON,157,8.90208E+12,2,Product 7UP LEMON FLVR ZERO SUGAR 330ML variant LEMON unit 330ML from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP LEMON FLVR ZERO SUGAR 330ML.png
6,7UP,7UP NIMBOOZ 125ML,7.64,10,10,125ML,NIMBU,158,8.90208E+12,2,Product 7UP NIMBOOZ 125ML variant NIMBU unit 125ML from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP NIMBOOZ 125ML.png
7,7UP,7UP NIMBOOZ 250ML,11.91,15,15,250ML,NIMBU,159,8.90208E+12,2,Product 7UP NIMBOOZ 250ML variant NIMBU unit 250ML from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP NIMBOOZ 250ML.png
8,7UP,7UP NIMBOOZ 350ML,20.54,25,25,350ML,GENERAL,161,8.90208E+12,2,Product 7UP NIMBOOZ 350ML variant GENERAL unit 350ML from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP NIMBOOZ 350ML.png
9,7UP,7UP NIMBOOZ 500ML,24.98,30,30,500ML,NIMBU,162,8.90208E+12,2,Product 7UP NIMBOOZ 500ML variant NIMBU unit 500ML from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP NIMBOOZ 500ML.png
10,7UP,7UP ZERO SUGAR 250ML,9.29,15,15,250ML,ZERO SUGAR,163,8.90208E+12,2,Product 7UP ZERO SUGAR 250ML variant ZERO SUGAR unit 250ML from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP ZERO SUGAR 250ML.png
11,7UP,7UP ZERO SUGAR 500ML,15.18,20,20,500ML,ZERO SUGAR,164,8.90208E+12,2,Product 7UP ZERO SUGAR 500ML variant ZERO SUGAR unit 500ML from brand 7UP.,/home/ubuntu/upload/unzipped_products/Final_Products/7UP ZERO SUGAR 500ML.png
12,AACHI,AACHI BLACK PEPPER POWDER 100G,101.33,150,152,100G,BLACK PEPPER,239,8.90602E+12,4,Product AACHI BLACK PEPPER POWDER 100G variant BLACK PEPPER unit 100G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI BLACK PEPPER POWDER 100G.png
13,AACHI,AACHI CHANNA MASALA 50G,23.38,32,32,50G,CHANNA MASALA,243,8.90602E+12,4,Product AACHI CHANNA MASALA 50G variant CHANNA MASALA unit 50G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI CHANNA MASALA 50G.png
14,AACHI,AACHI CHICKEN KABAB POWDER 100G,23.33,35,35,100G,CHICKEN,246,8.90421E+12,4,Product AACHI CHICKEN KABAB POWDER 100G variant CHICKEN unit 100G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI CHICKEN KABAB POWDER 100G.png
15,AACHI,AACHI CHICKEN MASALA 100GM,34.67,50,50,100GM,CHICKEN 65 MASALA,249,8.90602E+12,4,Product AACHI CHICKEN MASALA 100GM variant CHICKEN 65 MASALA unit 100GM from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI CHICKEN MASALA 100GM.png
16,AACHI,AACHI CHICKEN MASALA 200G,69.33,100,104,200G,CHICKEN MASALA,251,8.90602E+12,4,Product AACHI CHICKEN MASALA 200G variant CHICKEN MASALA unit 200G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI CHICKEN MASALA 200G.png
17,AACHI,AACHI CHICKEN MASALA 50G,16.67,25,25,50G,CHICKEN 65 MASALA,253,8.90602E+12,4,Product AACHI CHICKEN MASALA 50G variant CHICKEN 65 MASALA unit 50G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI CHICKEN MASALA 50G.png
18,AACHI,AACHI CURRY MASALA 100G,34.67,52,52,100G,CURRY & PEPPER,277,8.90406E+12,4,Product AACHI CURRY MASALA 100G variant CURRY & PEPPER unit 100G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI CURRY MASALA 100G.png
19,AACHI,AACHI CUT MANGO PICKLE 200G,31.79,44.5,89,300G,CUT MANGO 300G,279,8.90421E+12,4,Product AACHI CUT MANGO PICKLE 200G variant CUT MANGO 300G unit 300G from brand AACHI.,/home/ubuntu/upload/unzipped_products/Final_Products/AACHI CUT MANGO PICKLE 200G.png
